2008-11-27 13:29:34 Notice: Notice (8): Undefined property: AuthComponent::$Acl in [CORE/cake/libs/controller/components/auth.php, line 470]
2008-11-27 13:29:35 Notice: Notice (8): Undefined property: AuthComponent::$Acl in [CORE/cake/libs/controller/components/auth.php, line 470]
2008-11-27 13:54:50 Notice: Notice (8): Undefined variable: paginator in [APP/views/feeds/index.ctp, line 38]
2008-11-27 13:54:53 Notice: Notice (8): Undefined variable: paginator in [APP/views/feeds/index.ctp, line 38]
2008-11-27 14:37:02 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 20]
2008-11-27 14:37:02 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 21]
2008-11-27 14:37:02 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 22]
2008-11-27 14:37:22 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 20]
2008-11-27 14:37:22 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 21]
2008-11-27 14:37:22 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 22]
2008-11-27 14:37:22 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 45]
2008-11-27 14:37:36 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 20]
2008-11-27 14:37:36 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 21]
2008-11-27 14:37:36 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 22]
2008-11-27 14:37:36 Notice: Notice (8): Undefined variable: posts in [APP/views/pages/dog.ctp, line 45]
2008-11-27 14:37:36 Notice: Notice (8): Undefined variable: announces in [APP/views/pages/dog.ctp, line 84]
2008-11-27 14:47:49 Notice: Notice (8): Undefined index:  s in [APP/views/pages/feed.ctp, line 16]
2008-11-27 14:47:49 Notice: Notice (8): Undefined index:  cat in [APP/views/pages/feed.ctp, line 17]
2008-11-27 14:47:52 Notice: Notice (8): Undefined index:  s in [APP/views/pages/feed.ctp, line 16]
2008-11-27 14:47:52 Notice: Notice (8): Undefined index:  cat in [APP/views/pages/feed.ctp, line 17]
2008-11-27 14:48:07 Notice: Notice (8): Undefined index:  s in [APP/views/pages/feed.ctp, line 16]
2008-11-27 14:48:07 Notice: Notice (8): Undefined index:  cat in [APP/views/pages/feed.ctp, line 17]
2008-11-27 14:48:08 Notice: Notice (8): Undefined index:  s in [APP/views/pages/feed.ctp, line 16]
2008-11-27 14:48:08 Notice: Notice (8): Undefined index:  cat in [APP/views/pages/feed.ctp, line 17]
2008-11-27 15:00:29 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 8]
2008-11-27 15:00:38 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 8]
2008-11-27 15:01:08 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 8]
2008-11-27 15:01:48 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 8]
2008-11-27 15:02:40 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 8]
2008-11-27 15:02:41 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 8]
2008-11-27 15:02:46 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 7]
2008-11-27 15:02:48 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 8]
2008-11-27 15:03:10 Notice: Notice (8): Undefined index:  title in [APP/views/posts/feed.ctp, line 14]
2008-11-27 15:03:10 Notice: Notice (8): Undefined index:  id in [APP/views/posts/feed.ctp, line 15]
2008-11-27 15:03:10 Notice: Notice (8): Undefined index:  intro in [APP/views/posts/feed.ctp, line 16]
2008-11-27 15:03:10 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 17]
2008-11-27 15:03:49 Notice: Notice (8): Undefined index:  title in [APP/views/posts/feed.ctp, line 14]
2008-11-27 15:03:49 Notice: Notice (8): Undefined index:  id in [APP/views/posts/feed.ctp, line 15]
2008-11-27 15:03:49 Notice: Notice (8): Undefined index:  intro in [APP/views/posts/feed.ctp, line 16]
2008-11-27 15:03:49 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 17]
2008-11-27 15:04:17 Notice: Notice (8): Undefined index:  title in [APP/views/posts/feed.ctp, line 15]
2008-11-27 15:04:17 Notice: Notice (8): Undefined index:  id in [APP/views/posts/feed.ctp, line 16]
2008-11-27 15:04:17 Notice: Notice (8): Undefined index:  intro in [APP/views/posts/feed.ctp, line 17]
2008-11-27 15:04:17 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 18]
2008-11-27 15:04:53 Notice: Notice (8): Undefined index:  id in [APP/views/posts/feed.ctp, line 16]
2008-11-27 15:04:53 Notice: Notice (8): Undefined index:  intro in [APP/views/posts/feed.ctp, line 17]
2008-11-27 15:04:53 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 18]
2008-11-27 15:05:00 Notice: Notice (8): Undefined index:  id in [APP/views/posts/feed.ctp, line 15]
2008-11-27 15:05:00 Notice: Notice (8): Undefined index:  intro in [APP/views/posts/feed.ctp, line 16]
2008-11-27 15:05:00 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 17]
2008-11-27 15:05:30 Notice: Notice (8): Undefined index:  intro in [APP/views/posts/feed.ctp, line 17]
2008-11-27 15:05:30 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 18]
2008-11-27 15:05:36 Notice: Notice (8): Undefined index:  intro in [APP/views/posts/feed.ctp, line 16]
2008-11-27 15:05:36 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 17]
2008-11-27 15:06:11 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 17]
2008-11-27 15:07:04 Notice: Notice (8): Undefined variable: time in [APP/views/posts/feed.ctp, line 17]
2008-11-27 19:51:03 Notice: Notice (8): Undefined property: Post::$hits in [APP/controllers/posts_controller.php, line 82]
2008-11-27 19:52:05 Notice: Notice (8): Undefined property: Post::$hits in [APP/controllers/posts_controller.php, line 82]
2008-11-27 19:53:50 Notice: Notice (8): Undefined property: Post::$label in [APP/controllers/posts_controller.php, line 83]
2008-11-27 19:54:46 Notice: Notice (8): Undefined property: PostsController::$label in [APP/controllers/posts_controller.php, line 83]
2008-11-27 19:54:53 Notice: Notice (8): Undefined property: Post::$label in [APP/controllers/posts_controller.php, line 83]
2008-11-27 19:55:07 Notice: Notice (8): Undefined property: Post::$label in [APP/controllers/posts_controller.php, line 83]
2008-11-27 19:55:49 Notice: Notice (8): Undefined variable: post in [APP/controllers/posts_controller.php, line 85]
2008-11-27 20:08:05 Notice: Notice (8): Undefined property: PostsController::$post in [APP/controllers/posts_controller.php, line 83]
2008-11-27 20:08:12 Notice: Notice (8): Undefined property: Post::$Post in [APP/models/post.php, line 18]
